Year,Country,Gross Domestic Product (GDP),GDP Growth Rate (%),Price Inflation Rate (%)
1964,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1964,Lao PDR,6219585043.0,6.075047488,16.89769908
1964,Lebanon,25698059776.0,3.80501052,31.6503076
1964,Malaysia,2674423922.0,5.35896291,-0.402731571
1964,Maldives,1714876941.0,5.991783374,4.888363683
1964,Mongolia,5442036507.0,4.519967418,21.93483208
1964,Myanmar,411419905.8,-5.89401884,-0.459418069
1964,Nepal,496098775.3,7.532448553,7.829823384
1964,Oman,28692807353.0,8.014624442,2.111150506
1964,Pakistan,5204955901.0,7.569757449,4.179586881
1964,Philippines,5953756195.0,3.402494436,8.183079057
1964,Qatar,55943064814.0,7.927137935,3.272968941
1964,Saudi Arabia,293432000000.0,4.996335607,2.799999999
1964,Singapore,894153311.4,-3.103168156,1.726095844
1964,Sri Lanka,1309747899.0,3.906433837,3.195647176
1964,Syrian Arab Republic,1339494267.0,9.271363802,5.396565822
1964,Tajikistan,4407068380.0,2.500033543,11.18745334
1964,Thailand,3889129942.0,6.830996144,-0.792079208
1964,Timor-Leste,1236354422.0,4.942936305,4.843521556
1964,Turkiye,11177777778.0,5.459056798,1.119637815
1964,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1964,Uzbekistan,36471688434.0,4.420479188,12.17375952
1964,Viet Nam,115503000000.0,6.382217698,5.772232768
1964,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1965,Afghanistan,1006666638.0,4.74796003,6.124619936
1965,Armenia,6898248878.0,3.515202551,126.8455368
1965,Azerbaijan,29420997153.0,4.000604339,108.1802041
1965,Bahrain,16101033255.0,3.808078596,3.531110669
1965,Bangladesh,5906636792.0,1.606258229,6.27939513
1965,Bhutan,925869512.9,6.832227605,7.284395103
1965,Brunei Darussalam,114039500.6,1.555753639,1.460945065
1965,Cambodia,868571428.6,5.600001174,4.398758198
1965,China,70436008642.0,16.95,4.773168146
1965,Cyprus,12913632679.0,4.88657026,0.202839757
1965,Georgia,9834973348.0,2.468894061,12.66676181
1965,India,59554854576.0,-2.63577011,9.474758592
1965,Indonesia,334969000000.0,1.081589467,306.7631103
1965,"Iran, Islamic Rep.",6197319929.0,17.03571152,2.154374835
1965,Iraq,70142757423.0,7.121138889,-0.455580866
1965,Israel,3663333333.0,9.093965599,7.708333264
1965,Japan,90950278258.0,5.819707873,6.655990943
1965,Jordan,599759760.1,4.65248636,5.772380507
1965,Kazakhstan,100142000000.0,2.88125,82.35942488
1965,"Korea, Rep.",3120861499.0,7.31843358,13.54819471
1965,Kuwait,2097199161.0,4.153980922,3.995213715
1965,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1965,Lao PDR,6219585043.0,6.075047488,16.89769908
1965,Lebanon,25698059776.0,3.80501052,31.6503076
1965,Malaysia,2956337669.0,7.684863475,-0.105485232
1965,Maldives,1714876941.0,5.991783374,4.888363683
1965,Mongolia,5442036507.0,4.519967418,21.93483208
1965,Myanmar,367053111.3,10.69264951,17.69230769
1965,Nepal,735267081.7,-1.203189018,8.471869328
1965,Oman,63279974.69,8.014624442,2.111150506
1965,Pakistan,5929231415.0,10.41936582,5.568635479
1965,Philippines,6517349772.0,5.345089329,2.564102564
1965,Qatar,55943064814.0,7.927137935,3.272968941
1965,Saudi Arabia,293432000000.0,4.996335607,0.389105059
1965,Singapore,974644096.1,7.834260465,0.178611297
1965,Sri Lanka,1698319328.0,2.536953536,0.222783306
1965,Syrian Arab Republic,1329842435.0,2.299373875,-3.87897595
1965,Tajikistan,4407068380.0,2.500033543,11.18745334
1965,Thailand,4388937649.0,8.181661538,0.166333998
1965,Timor-Leste,1236354422.0,4.942936305,4.843521556
1965,Turkiye,11966666667.0,2.823529543,4.555533684
1965,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1965,Uzbekistan,36471688434.0,4.420479188,12.17375952
1965,Viet Nam,115503000000.0,6.382217698,5.772232768
1965,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1966,Afghanistan,1399999967.0,4.74796003,6.124619936
1966,Armenia,6898248878.0,3.515202551,126.8455368
1966,Azerbaijan,29420997153.0,4.000604339,108.1802041
1966,Bahrain,16101033255.0,3.808078596,2.134471719
1966,Bangladesh,6439687854.0,2.566812001,6.27939513
1966,Bhutan,925869512.9,6.832227605,7.284395103
1966,Brunei Darussalam,132757528.0,1.555753639,1.460945065
1966,Cambodia,914285714.3,5.600001174,4.398758198
1966,China,76720005492.0,10.65,4.773168146
1966,Cyprus,12913632679.0,4.88657026,0.506072874
1966,Georgia,9834973348.0,7.535631294,12.66676181
1966,India,45865462034.0,-0.05532877,10.80184835
1966,Indonesia,334969000000.0,2.791346825,1136.254112
1966,"Iran, Islamic Rep.",6789938672.0,11.50240728,-0.388148532
1966,Iraq,70142757423.0,7.121138889,1.983218917
1966,Israel,3980000000.0,-0.079644772,7.930367544
1966,Japan,105628000000.0,10.63856156,5.040832059
1966,Jordan,657999736.8,4.65248636,5.772380507
1966,Kazakhstan,100142000000.0,2.88125,82.35942488
1966,"Korea, Rep.",3929055144.0,11.99395661,11.26138488
1966,Kuwait,2391199044.0,4.153980922,3.995213715
1966,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1966,Lao PDR,6219585043.0,6.075047488,16.89769908
